No.;Time;Comment;Scramble;Date;P.1
1;19.20;;R B2 F2 L' D2 F2 L U2 B2 U2 R2 U B' L2 D' B2 L' D' U' L2;2025-10-25 20:52:43;19.20
2;22.06;;R' D' L2 U2 B2 L' D2 R' U2 B2 F2 R D2 L' F' L' B' U F D' B;2025-10-25 20:53:54;22.06
3;21.06;;F' D' B2 U' B2 U2 B2 F2 D' L2 B' L' U2 L' D U R B' F2;2025-10-25 20:55:41;21.06
4;20.47;;B D R2 U2 R2 B2 D2 B R2 F' L2 U2 B' U' R2 U2 R' F' L F';2025-10-25 20:56:34;20.47
5;16.88;;D L' F R' F B2 R D' R2 B2 U2 F2 D' R2 U L2 F2 L2 B' U;2025-10-25 20:57:25;16.88
6;17.30;;B2 F2 U' B2 R2 D' R2 U2 R2 B2 L2 D B' D' F R D' L U' B' L';2025-10-25 20:58:08;17.30
7;13.93;;U2 D L B L' B2 L D B2 D2 B2 L2 U F2 U R2 D B' R';2025-10-25 20:58:49;13.93
8;22.50;;R B R2 D2 F D2 B' U2 L2 F' R2 F2 R2 L B' F2 U B R B' L;2025-10-25 20:59:34;22.50
9;18.13;;B' D L2 F2 L2 F' D2 B D2 F' D2 L2 F L B D R2 D2 L2 R';2025-10-25 21:00:38;18.13
10;16.71;;L2 B2 U' F2 D' F2 R2 D B2 L2 D2 L B2 L F U2 F R2 D2 F D2;2025-10-25 21:01:17;16.71
11;21.99;;B' L2 D2 F2 R' B2 U2 L B2 U2 L' R D R D R D R2 B';2025-10-25 21:02:22;21.99
12;18.69;;B' F2 D L2 F2 D R2 U R2 D2 R U' B2 R' U2 B' F2;2025-10-25 21:03:15;18.69
13;18.07;;B2 R2 U B2 L2 B2 D' F2 D' L2 D B' R U2 R' U' L B D B' F2;2025-10-25 21:05:49;18.07
14;15.60;;D L B' D' F' B U2 D' F' B' D2 F' U2 L2 B' D2 R2 U2 B2 U2;2025-10-25 21:07:23;15.60
15;18.15;;R' F2 L2 B' L2 F' D R2 U2 F2 L' B2 U2 R' F2 L2 F2 L' B2 D';2025-10-25 21:09:15;18.15
16;20.17;;F2 R' D2 B2 U B2 R2 U B2 F2 U' L2 F2 U B' R2 F U2 R' B' L';2025-10-25 21:10:03;20.17
17;12.85;;B' U L2 B2 R' U R D2 B L2 F U2 F2 D2 F' L2 F2 R2 B L' U';2025-10-25 21:11:08;12.85
18;19.23;;R' B2 L2 D2 B2 U' B2 D B2 D L2 R2 B' D2 L' F L2 D2 F' U' R';2025-10-25 21:11:54;19.23
19;23.41;;R' U' L' U' R2 B2 L2 U L2 U2 B2 D' B2 L B U L U' B2 L;2025-10-25 21:13:03;23.41
20;13.69;;L2 U2 L2 F L2 R2 D2 F' D2 U2 R2 F U F' U' L B' F2 L R' U';2025-10-25 21:13:45;13.69
21;16.81;;F' U2 R F2 L' B L2 U' F2 L2 D L2 B2 D2 B2 U' R2 D2 L U';2025-10-25 21:14:18;16.81
22;28.88;;F R' L2 F R L2 U' B2 L F2 L F2 R2 U2 L B2 R' D2 B2 U R;2025-10-25 21:14:56;28.88
23;20.86;;B R' U' F2 R2 D' R2 B2 D' U2 L2 U' F D L2 R' D U B L;2025-10-25 21:15:48;20.86
24;17.46;;U' B R2 F2 L2 R2 U' F2 U2 L2 F2 L2 U2 F' D2 R U' B D2 B';2025-10-25 21:16:31;17.46
25;18.81;;L U2 R' L B' U B2 R' L2 U2 F' D2 B' R2 F' L2 B2 D;2025-10-25 21:17:10;18.81
26;18.74;;U' L2 D2 B2 L' R2 B2 D2 R U2 L' B D' F2 D2 R U' L' B;2025-10-25 21:53:12;18.74
27;20.29;;R2 D' L2 B2 F2 D' U' B2 D' L' B2 L' F' R' B F U F2 L';2025-10-25 21:53:50;20.29
28;18.91;;F2 R' B' U2 L' F2 D' B2 D2 F2 D2 L2 B' U2 F R2 B' L2 D F';2025-10-25 21:54:28;18.91
29;17.91;;D' R2 D L2 D L2 U2 B2 F2 U R2 B2 L R' D F U' B' F' R2 F';2025-10-25 21:55:07;17.91
30;22.03;;R D2 R2 U2 B2 F L2 R2 U2 B' R2 B D F2 L' F L' F2 R B';2025-10-25 21:55:46;22.03
31;17.53;;B R B2 D R2 F2 D F2 R2 U B2 F2 U' F' R2 B D' F2 D R;2025-10-25 21:56:35;17.53
32;20.24;;F' U2 L2 D' L2 U R2 U R2 U F2 R2 D' R' B' U L F' D B2;2025-10-25 21:57:17;20.24
33;21.27;;U2 L' F D B2 R D2 B U F2 B' L2 D2 F' U2 F L2 D2 B2 U2;2025-10-25 21:58:01;21.27
34;19.62;;D' F R2 D2 B' F D2 R2 D2 B L2 F' R' B' L' U' B F D F;2025-10-25 21:58:47;19.62
35;18.22;;U2 B' R2 F' L2 D2 B R2 U2 B2 R2 F2 L D F' L R2 F D2 B' D2;2025-10-25 21:59:23;18.22
36;17.26;;R U' F2 U2 F' L2 F2 D2 B' U2 B U2 F R2 D' B' L R' F U2 R';2025-10-25 22:00:04;17.26
